,code,month,name,date,open,close,low,high,volume,change_pct,amplitude,pre_close,date_ts
0,CL,2014-12,NYMEX原油,20141231,53.87,53.71,52.44,54.02,35814,-0.37,2.930811,53.91,2014-12-31
1,CL,2015-01,NYMEX原油,20150130,44.6,47.85,44.31,48.35,51412,7.31,9.060327,44.59,2015-01-30
2,CL,2015-02,NYMEX原油,20150227,48.97,49.52,48.46,49.94,45397,2.44,3.061647,48.34,2015-02-27
3,CL,2015-03,NYMEX原油,20150331,48.71,47.49,47.28,48.72,44261,-2.56,2.954452,48.74,2015-03-31
4,CL,2015-04,NYMEX原油,20150430,58.6,59.77,58.38,59.85,31611,2.12,2.511533,58.53,2015-04-30
5,CL,2015-05,NYMEX原油,20150529,57.95,60.23,57.72,60.7,38147,3.9,5.14059,57.97,2015-05-29
6,CL,2015-06,NYMEX原油,20150630,58.27,59.09,57.94,59.69,24264,1.41,3.003261,58.27,2015-06-30
7,CL,2015-07,NYMEX原油,20150731,48.43,46.77,46.7,48.62,25129,-3.45,3.963666,48.44,2015-07-31
8,CL,2015-08,NYMEX原油,20150831,44.98,48.16,43.6,49.33,76275,6.24,12.640635,45.33,2015-08-31
9,CL,2015-09,NYMEX原油,20150930,44.91,45.36,44.68,45.85,30542,0.27,2.586207,45.24,2015-09-30
10,CL,2015-10,NYMEX原油,20151030,45.72,46.39,45.48,47.03,35146,1.4,3.387978,45.75,2015-10-30
11,CL,2015-11,NYMEX原油,20151130,41.82,41.68,41.5,42.61,30724,-0.22,2.65741,41.77,2015-11-30
12,CL,2015-12,NYMEX原油,20151231,36.8,37.07,36.22,37.79,22626,0.65,4.262829,36.83,2015-12-31
13,CL,2016-01,NYMEX原油,20160129,33.7,33.74,32.65,34.4,53962,0.0593,5.189798,33.72,2016-01-29
14,CL,2016-02,NYMEX原油,20160229,32.74,33.9,32.32,33.98,40466,3.23,5.054811,32.84,2016-02-29
15,CL,2016-03,NYMEX原油,20160331,38.28,38.11,37.57,39.04,42567,-0.5,3.83812,38.3,2016-03-31
16,CL,2016-04,NYMEX原油,20160429,45.9,45.99,45.24,46.78,45693,0.24,3.356582,45.88,2016-04-29
17,CL,2016-05,NYMEX原油,20160531,49.64,48.83,48.81,50.1,26861,-1.55,2.600806,49.6,2016-05-31
18,CL,2016-06,NYMEX原油,20160630,49.55,48.4,48.17,49.62,34407,-2.3,2.926928,49.54,2016-06-30
19,CL,2016-07,NYMEX原油,20160729,41.12,41.38,40.57,41.67,31456,0.68,2.676399,41.1,2016-07-29
20,CL,2016-08,NYMEX原油,20160831,46.23,44.86,44.51,46.41,34285,-3.03,4.10722,46.26,2016-08-31
21,CL,2016-09,NYMEX原油,20160930,47.77,48.05,47.04,48.3,34003,0.69,2.640402,47.72,2016-09-30
22,CL,2016-10,NYMEX原油,20161031,48.31,46.76,46.63,48.74,35898,-3.9,4.33621,48.66,2016-10-31
23,CL,2016-11,NYMEX原油,20161130,45.24,48.98,45.22,49.9,122478,8.29,10.347115,45.23,2016-11-30
24,CL,2016-12,NYMEX原油,20161230,53.87,53.89,53.41,54.09,18303,0.07,1.262767,53.85,2016-12-30
25,CL,2017-01,NYMEX原油,20170131,52.6,52.8,52.24,53.56,19144,0.44,2.510938,52.57,2017-01-31
26,CL,2017-02,NYMEX原油,20170228,54.03,54.0,53.18,54.23,28806,-0.07,1.943005,54.04,2017-02-28
27,CL,2017-03,NYMEX原油,20170331,50.32,50.85,49.9,50.85,27344,1.03,1.887542,50.33,2017-03-31
28,CL,2017-04,NYMEX原油,20170428,49.27,49.19,48.8,49.76,31541,-0.1,1.949634,49.24,2017-04-28
29,CL,2017-05,NYMEX原油,20170531,49.64,48.63,47.73,49.71,41320,-2.05,3.987915,49.65,2017-05-31
30,CL,2017-06,NYMEX原油,20170630,44.88,46.33,44.88,46.35,26074,3.25,3.276131,44.87,2017-06-30
31,CL,2017-07,NYMEX原油,20170731,49.85,50.17,49.18,50.41,34990,0.76,2.470376,49.79,2017-07-31
32,CL,2017-08,NYMEX原油,20170831,45.95,47.09,45.58,47.47,42733,2.44,4.111377,45.97,2017-08-31
33,CL,2017-09,NYMEX原油,20170929,51.6,51.64,51.25,51.77,43890,0.1,1.007947,51.59,2017-09-29
34,CL,2017-10,NYMEX原油,20171031,54.08,54.64,53.93,54.85,24157,0.96,1.699926,54.12,2017-10-31
35,CL,2017-11,NYMEX原油,20171130,57.41,57.42,56.82,57.98,38672,0.05,2.021258,57.39,2017-11-30
36,CL,2017-12,NYMEX原油,20171229,59.91,60.1,59.82,60.51,23700,0.35,1.152112,59.89,2017-12-29
37,CL,2018-01,NYMEX原油,20180131,64.03,64.77,63.67,64.94,36058,1.22,1.984685,63.99,2018-01-31
38,CL,2018-02,NYMEX原油,20180228,62.8,61.55,61.36,63.44,44349,-2.05,3.309994,62.84,2018-02-28
39,CL,2018-03,NYMEX原油,20180329,64.69,64.91,64.16,65.26,35623,0.37,1.700943,64.67,2018-03-29
40,CL,2018-04,NYMEX原油,20180430,68.55,68.57,68.35,69.34,44766,0.88,1.456525,67.97,2018-04-30
41,CL,2018-05,NYMEX原油,20180531,68.24,67.1,66.56,68.3,61188,-1.66,2.550198,68.23,2018-05-31
42,CL,2018-06,NYMEX原油,20180629,73.33,74.25,72.93,74.46,45397,1.32,2.087882,73.28,2018-06-29
43,CL,2018-07,NYMEX原油,20180731,70.05,68.43,67.98,70.22,42069,-2.37,3.195891,70.09,2018-07-31
44,CL,2018-08,NYMEX原油,20180831,70.07,69.88,69.64,70.36,27216,-0.24,1.027837,70.05,2018-08-31
45,CL,2018-09,NYMEX原油,20180928,72.2,73.56,71.88,73.73,38863,1.9,2.562682,72.19,2018-09-28
46,CL,2018-10,NYMEX原油,20181031,66.33,64.86,64.81,67.0,45058,-2.25,3.300678,66.35,2018-10-31
47,CL,2018-11,NYMEX原油,20181130,51.27,50.725,49.65,51.79,82181,-1.03,4.175202,51.255,2018-11-30
48,CL,2018-12,NYMEX原油,20181231,45.23,45.81,44.73,46.53,49437,1.52,3.989096,45.123,2018-12-31
49,CL,2019-01,NYMEX原油,20190131,54.25,54.018,53.62,55.37,44034,-0.37,3.22777,54.217,2019-01-31
50,CL,2019-02,NYMEX原油,20190228,56.99,57.25,56.43,57.43,38925,0.48,1.755063,56.978,2019-02-28
51,CL,2019-03,NYMEX原油,20190329,59.53,60.182,59.41,60.73,39837,1.13,2.218152,59.509,2019-03-29
52,CL,2019-04,NYMEX原油,20190430,63.58,63.472,63.3,64.75,48714,-0.22,2.279372,63.614,2019-04-30
53,CL,2019-05,NYMEX原油,20190531,56.46,53.361,53.05,56.61,79171,-5.41,6.310602,56.413,2019-05-31
54,CL,2019-06,NYMEX原油,20190628,59.22,58.18,57.75,59.8,530558,-1.8556,3.458165,59.28,2019-06-28
55,CL,2019-07,NYMEX原油,20190731,58.34,57.8,57.81,58.82,592538,-0.9086,1.731528,58.33,2019-07-31
56,CL,2019-08,NYMEX原油,20190830,56.63,55.14,54.55,56.72,679844,-2.5795,3.833922,56.6,2019-08-30
57,CL,2019-09,NYMEX原油,20190930,56.54,54.23,53.98,56.57,504623,-3.4366,4.611823,56.16,2019-09-30
58,CL,2019-10,NYMEX原油,20191031,54.9,54.13,53.71,55.59,645900,-1.4026,3.424408,54.9,2019-10-31
59,CL,2019-11,NYMEX原油,20191129,58.2,55.41,55.02,58.3,692806,-4.8592,5.631868,58.24,2019-11-29
60,CL,2019-12,NYMEX原油,20191231,61.68,61.2,60.63,61.88,474053,-0.746,2.027246,61.66,2019-12-31
61,CL,2020-01,NYMEX原油,20200131,52.92,51.63,50.97,53.36,790646,-2.4561,4.515398,52.93,2020-01-31
62,CL,2020-02,NYMEX原油,20200228,46.49,45.27,43.85,47.03,1059301,-2.2879,6.863803,46.33,2020-02-28
63,CL,2020-03,NYMEX原油,20200331,20.23,20.1,20.01,21.89,604605,-0.8876,9.270217,20.28,2020-03-31
64,CL,2020-04,NYMEX原油,20200430,15.64,19.08,15.45,19.44,501420,24.3807,26.01043,15.34,2020-04-30
65,CL,2020-05,NYMEX原油,20200529,33.68,35.31,32.36,35.77,420891,4.9331,10.13373,33.65,2020-05-29
66,CL,2020-06,NYMEX原油,20200630,39.64,39.81,38.85,40.08,349492,0.4542,3.103709,39.63,2020-06-30
67,CL,2020-07,NYMEX原油,20200731,40.34,40.39,39.66,40.55,293852,0.1488,2.206794,40.33,2020-07-31
68,CL,2020-08,NYMEX原油,20200831,42.91,42.81,42.56,43.57,219480,-0.326,2.351572,42.95,2020-08-31
69,CL,2020-09,NYMEX原油,20200930,39.16,39.85,38.68,40.37,323219,1.9442,4.323356,39.09,2020-09-30
70,CL,2020-10,NYMEX原油,20201030,36.07,35.73,35.21,36.6,367503,-1.0249,3.850416,36.1,2020-10-30
71,CL,2020-11,NYMEX原油,20201130,45.34,45.06,44.42,45.8,349022,-1.0105,3.031634,45.52,2020-11-30
72,CL,2020-12,NYMEX原油,20201231,48.35,48.42,47.77,48.58,162807,0.2277,1.676671,48.31,2020-12-31
73,CL,2021-01,NYMEX原油,20210129,52.15,52.14,51.93,53.25,390451,0.096,2.534076,52.09,2021-01-29
74,CL,2021-02,NYMEX原油,20210226,63.46,61.58,61.34,63.57,450135,-2.9625,3.514025,63.46,2021-02-26
75,CL,2021-03,NYMEX原油,20210331,60.45,59.43,58.85,61.17,392901,-1.606,3.84106,60.4,2021-03-31
76,CL,2021-04,NYMEX原油,20210401,59.49,61.24,58.86,61.75,577986,3.0456,4.862864,59.43,2021-04-01
77,ES,2014-12,标普期货,20141231,2077.9,2052.2,2051.5,2082.4,195,-1.24,1.487078,2077.9,2014-12-31
78,ES,2015-01,标普期货,20150130,2018.6,1991.0,1986.0,2019.0,543,-1.37,1.634796,2018.6,2015-01-30
79,ES,2015-02,标普期货,20150227,2109.3,2105.6,2102.0,2110.5,440,-0.07,0.403417,2107.0,2015-02-27
80,ES,2015-03,标普期货,20150331,2057.8,2058.9,2057.8,2058.9,6,-0.84,0.052976,2076.4,2015-03-31
81,ES,2015-04,标普期货,20150430,0.0,2083.2,2083.2,2083.2,0,-0.71,0.0,2098.0,2015-04-30
82,ES,2015-05,标普期货,20150529,2121.6,2107.4,2102.7,2122.6,315,-0.69,0.93775,2122.1,2015-05-29
83,ES,2015-06,标普期货,20150630,2052.9,2054.7,2047.5,2068.7,492,0.13,1.033138,2052.0,2015-06-30
84,ES,2015-07,标普期货,20150731,2101.8,2100.7,2096.8,2108.5,243,-0.04,0.556745,2101.5,2015-07-31
85,ES,2015-08,标普期货,20150831,0.0,1965.7,1965.7,1965.7,0,-1.03,0.0,1986.1,2015-08-31
86,ES,2015-09,标普期货,20150930,1901.7,1901.7,1901.7,1902.5,1,1.37,0.042644,1876.0,2015-09-30
87,ES,2015-10,标普期货,20151030,2085.1,2074.4,2071.0,2093.0,242,-0.48,1.055409,2084.5,2015-10-30
88,ES,2015-11,标普期货,20151130,2086.8,2086.6,2085.5,2086.8,2,-0.16,0.062204,2089.9,2015-11-30
89,ES,2015-12,标普期货,20151231,0.0,2036.1,2036.1,2036.1,0,-0.96,0.0,2055.9,2015-12-31
