month,000300.XSHG,000905.XSHG,159920.XSHE,399481.XSHE,511010.XSHG,518880.XSHG,^GSPC,^HSI
2014-12,3533.7,5322.71,1.045,127.59,102.446,2.412,2058.89990234375,23605.0390625
2015-01,3434.39,5632.73,1.093,127.89,104.343,2.542,1994.989990234375,24507.05078125
2015-02,3572.84,6018.46,1.106,128.11,105.746,2.465,2104.5,24823.2890625
2015-03,4051.2,7253.1,1.133,127.99,104.079,2.366,2067.889892578125,24900.890625
2015-04,4749.89,8469.67,1.252,128.13,106.242,2.409,2085.510009765625,28133.0
2015-05,4840.83,9966.84,1.214,128.68,105.332,2.381,2107.389892578125,27424.189453125
2015-06,4473.0,8906.02,1.192,128.77,104.913,2.346,2063.110107421875,26250.029296875
2015-07,3816.7,7727.06,1.107,129.32,107.184,2.167,2103.840087890625,24636.279296875
2015-08,3366.54,6581.31,1.011,129.74,107.764,2.339,1972.1800537109375,21670.580078125
2015-09,3202.95,6123.73,0.984,130.13,107.69,2.314,1920.030029296875,20846.30078125
2015-10,3534.08,7084.97,1.064,130.28,108.805,2.351,2079.360107421875,22640.0390625
2015-11,3566.41,7408.4,1.05,130.14,108.578,2.183,2080.409912109375,21996.419921875
2015-12,3731.01,7617.69,1.058,130.69,109.845,2.232,2043.93994140625,21914.400390625
2016-01,2946.09,5469.13,0.941,131.15,109.806,2.363,1940.239990234375,19683.109375
2016-02,2877.47,5350.43,0.92,131.29,110.373,2.587,1932.22998046875,19111.9296875
2016-03,3218.09,6155.81,0.99,131.74,111.43,2.548,2059.739990234375,20776.69921875
2016-04,3156.75,5985.59,1.007,131.46,110.689,2.66,2065.300048828125,21067.05078125
2016-05,3169.56,5947.32,1.029,131.34,110.891,2.576,2096.949951171875,20815.08984375
2016-06,3153.92,6123.49,1.035,131.46,111.559,2.818,2098.860107421875,20794.369140625
2016-07,3203.93,6202.89,1.095,131.85,112.42,2.859,2173.60009765625,21891.369140625
2016-08,3327.79,6434.21,1.158,132.14,112.797,2.823,2170.949951171875,22976.880859375
2016-09,3253.28,6328.09,1.182,132.19,113.157,2.843,2168.27001953125,23297.150390625
2016-10,3336.28,6452.21,1.183,132.27,113.463,2.788,2126.14990234375,22934.5390625
2016-11,3538.0,6585.58,1.186,132.1,111.694,2.652,2198.81005859375,22789.76953125
2016-12,3310.08,6263.63,1.156,131.34,110.719,2.636,2238.830078125,22000.560546875
2017-01,3387.96,6223.71,1.209,131.11,110.876,2.641,2278.8701171875,23360.779296875
2017-02,3452.81,6450.97,1.236,130.64,111.131,2.774,2363.639892578125,23740.73046875
2017-03,3456.05,6401.65,1.263,130.15,110.823,2.761,2362.719970703125,24111.58984375
2017-04,3439.75,6211.86,1.279,129.72,109.989,2.812,2384.199951171875,24615.130859375
2017-05,3492.88,5824.1,1.334,128.82,109.234,2.775,2411.800048828125,25660.650390625
2017-06,3666.8,6138.16,1.33,128.69,109.728,2.714,2423.409912109375,25764.580078125
2017-07,3737.87,6298.0,1.403,128.52,109.68,2.742,2470.300048828125,27323.990234375
2017-08,3822.09,6470.43,1.414,128.33,109.891,2.756,2471.64990234375,27970.30078125
2017-09,3836.5,6603.26,1.41,128.16,109.87,2.742,2519.360107421875,27554.30078125
2017-10,4006.72,6560.21,1.448,127.95,109.274,2.718,2575.260009765625,28245.5390625
2017-11,4006.1,6263.42,1.493,127.64,109.195,2.72,2647.580078125,29177.349609375
2017-12,4030.85,6250.82,1.498,127.37,109.386,2.708,2673.610107421875,29919.150390625
2018-01,4275.9,6189.34,1.589,127.11,109.845,2.735,2823.81005859375,32887.26953125
2018-02,4023.64,6023.68,1.498,127.09,110.646,2.692,2713.830078125,30844.720703125
2018-03,3898.5,6114.74,1.449,126.93,111.213,2.692,2640.8701171875,30093.380859375
2018-04,3756.88,5860.98,1.47,127.25,112.359,2.692,2648.050048828125,30808.44921875
2018-05,3802.38,5754.47,1.495,127.0,112.149,2.686,2705.27001953125,30468.560546875
2018-06,3510.98,5217.76,1.468,126.87,112.856,2.661,2718.3701171875,28955.109375
2018-07,3517.66,5188.72,1.509,126.99,113.418,2.673,2816.2900390625,28583.009765625
2018-08,3334.5,4814.82,1.476,127.28,113.459,2.646,2901.52001953125,27888.55078125
2018-09,3438.86,4800.73,1.48,127.35,113.728,2.623,2913.97998046875,27788.51953125
2018-10,3153.82,4272.55,1.343,127.33,114.305,2.724,2711.739990234375,24979.689453125
